imdb_title_id,ordering,imdb_name_id,category
23245,2,423685,actress
23245,3,543115,actor
23245,4,126365,actor
23245,5,5713,director
23245,6,701233,writer
23245,7,770337,writer
23245,8,49721,writer
23245,9,480673,producer
23245,10,836181,cinematographer
23285,1,513325,actor
23285,2,340514,actress
23285,3,835738,actor
23285,4,130740,actor
23285,5,33,director
23285,6,267537,writer
23285,7,720904,writer
23285,8,10063,writer
23285,9,231231,composer
23285,10,185055,cinematographer
23322,1,36,actor
23322,2,2051,actor
23322,3,602959,actress
23322,4,700723,actress
23322,5,781292,director
23322,6,425615,writer
23322,7,817809,writer
23322,8,222164,writer
23322,9,519556,writer
23322,10,5661,cinematographer
23369,1,1076,actress
23369,2,404158,actor
23369,3,397300,actor
23369,4,376698,actor
23369,5,587277,director
23369,6,173303,writer
23369,7,709888,writer
23369,8,560857,writer
23369,9,27173,writer
23369,10,55,composer
23382,1,22,actor
23382,2,1318,actress
23382,3,713270,actor
23382,4,802,actress
23382,5,281808,director
23382,6,536941,writer
23382,7,172812,writer
23382,8,829330,writer
23382,9,5849,cinematographer
23382,10,786568,editor
23395,1,447597,actor
23395,2,58039,actress
23395,3,549385,actor
23395,4,23894,actress
23395,5,33,director
23395,6,172246,writer
23395,7,720904,writer
23395,8,884318,writer
23395,9,4517768,producer
23395,10,231231,composer
23427,1,612847,actor
23427,2,245304,actress
23427,3,605904,actress
23427,4,674019,actor
23427,5,1328,director
23427,6,744514,director
23427,7,870660,writer
23427,8,372942,writer
23427,9,589316,writer
23427,10,536941,writer
23563,1,459030,actor
23563,2,921532,actor
23563,3,99786,actor
23563,4,226158,actor
23563,5,485,director
23563,6,415167,writer
23563,7,829954,writer
23563,8,902376,writer
23563,9,623873,producer
23563,10,258762,composer
23622,1,394244,actress
23622,2,290215,actress
23622,3,3339,actor
23622,4,749476,actor
23622,5,523932,director
23622,6,710723,writer
23622,7,428177,writer
23622,8,15801,writer
23622,9,6123,composer
23622,10,5800,cinematographer
23634,1,756870,actor
23634,2,31832,actor
23634,3,948989,actress
23634,4,837424,actor
23634,5,654868,director
23634,6,299343,writer
23634,7,406601,writer
23634,8,8255139,composer
23634,9,1529472,composer
23634,10,595954,cinematographer
23694,1,509,actor
23694,2,68705,actress
23694,3,147248,actor
23694,4,292537,actor
23694,5,356931,director
23694,6,922951,writer
23694,7,2690196,writer
23694,8,356922,producer
23694,9,553339,cinematographer
23694,10,572886,editor
23753,1,35159,actor
23753,2,40374,actor
23753,3,42552,actor
23753,4,11,actor
23753,5,572851,director
23753,6,363414,director
23753,7,411208,director
23753,8,581,writer
23753,9,580017,writer
23753,10,140902,writer
23969,1,50,actor
23969,2,555617,actor
